longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-117.07,32.56,9.0,3648.0,895.0,3293.0,840.0,3.0992,NEAR OCEAN,159448.27050793066
-118.43,34.08,46.0,778.0,90.0,238.0,93.0,15.0001,<1H OCEAN,478997.55283928575
-122.05,36.97,16.0,3363.0,611.0,1603.0,556.0,4.2542,NEAR OCEAN,257537.77452150884
-122.25,37.49,43.0,2607.0,477.0,1225.0,461.0,4.224,NEAR OCEAN,338798.94520188944
-117.87,34.14,30.0,2495.0,586.0,1139.0,559.0,2.9375,INLAND,168237.04342824657
-118.2,34.05,42.0,1703.0,586.0,2490.0,581.0,2.02,<1H OCEAN,146493.13254272213
-121.32,37.94,36.0,40.0,10.0,64.0,14.0,2.625,INLAND,187385.5039016243
-120.96,38.66,11.0,2339.0,436.0,1062.0,380.0,3.9036,INLAND,155664.0558871545
-120.43,34.96,24.0,2739.0,414.0,1171.0,413.0,4.8155,<1H OCEAN,227623.5051103665
-122.28,37.9,52.0,2003.0,250.0,658.0,244.0,10.0825,NEAR BAY,494943.5153333334
-122.0,37.08,17.0,4154.0,739.0,2149.0,693.0,5.5919,NEAR OCEAN,304110.87683181616
-118.34,33.87,34.0,1069.0,217.0,601.0,212.0,4.6406,<1H OCEAN,281004.6824933823
-118.52,34.21,36.0,1328.0,287.0,823.0,273.0,4.5648,<1H OCEAN,219585.63421213964
-118.22,34.09,42.0,1706.0,488.0,1941.0,447.0,2.5213,<1H OCEAN,154922.11912581
-118.27,34.1,51.0,3149.0,519.0,1082.0,510.0,6.4459,<1H OCEAN,468224.79730256036
-117.58,34.02,4.0,5998.0,1092.0,3182.0,1042.0,5.2692,INLAND,180525.73373556984
-118.22,34.08,31.0,394.0,117.0,573.0,131.0,1.8173,<1H OCEAN,145659.3564546004
-121.78,36.93,21.0,2794.0,662.0,2236.0,565.0,2.4053,<1H OCEAN,163645.84040068847
-117.36,33.18,39.0,1546.0,291.0,833.0,308.0,2.8893,NEAR OCEAN,228052.90772737906
-119.01,35.36,24.0,1941.0,484.0,1277.0,435.0,1.056,INLAND,56396.344518390986
-117.81,34.11,21.0,3481.0,808.0,1866.0,746.0,3.6201,INLAND,166174.1580478269
-118.1,34.02,33.0,1143.0,172.0,508.0,174.0,4.9107,<1H OCEAN,198312.85122415674
-117.03,32.96,16.0,3424.0,698.0,1940.0,645.0,4.121,<1H OCEAN,176001.50473548888
-122.23,39.75,16.0,2026.0,396.0,1031.0,382.0,1.9375,INLAND,82280.73377254842
-121.96,37.1,20.0,922.0,155.0,361.0,135.0,6.3617,<1H OCEAN,311230.10484282544
-121.06,39.04,15.0,1999.0,287.0,585.0,246.0,5.5161,INLAND,199509.4409167999
-118.1,34.09,46.0,2822.0,525.0,1434.0,520.0,3.8906,<1H OCEAN,228447.69043460937
-118.32,33.95,44.0,2131.0,360.0,1040.0,330.0,5.0912,<1H OCEAN,221156.2385878552
-122.21,37.44,35.0,1140.0,193.0,486.0,199.0,4.6908,NEAR OCEAN,322500.7916739388
-118.19,34.1,39.0,2054.0,423.0,1205.0,403.0,4.239,<1H OCEAN,218315.3777535534
-122.38,40.09,16.0,2077.0,388.0,1155.0,389.0,3.1361,INLAND,103895.22674663599
-117.3,33.06,31.0,2128.0,520.0,1049.0,485.0,4.027,NEAR OCEAN,338355.4929770835
-122.13,37.71,44.0,1421.0,298.0,609.0,270.0,3.5781,NEAR BAY,191339.46647743124
-118.29,33.98,44.0,2261.0,555.0,1348.0,455.0,1.9125,<1H OCEAN,111817.89549009455
-121.53,39.52,30.0,1030.0,161.0,448.0,159.0,2.4821,INLAND,69713.11112718623
-120.47,34.65,16.0,2549.0,428.0,1486.0,432.0,4.2875,NEAR OCEAN,200253.30512377087
-118.3,34.0,52.0,1718.0,354.0,1026.0,312.0,2.0,<1H OCEAN,113084.97775075899
-118.22,33.8,33.0,1984.0,477.0,1764.0,440.0,3.875,NEAR OCEAN,178687.3907464888
-118.27,33.97,39.0,2569.0,688.0,2601.0,630.0,2.0754,<1H OCEAN,110594.11575010545
-118.34,34.06,52.0,1311.0,310.0,707.0,290.0,3.4812,<1H OCEAN,390848.55608047714
-119.21,34.18,13.0,6103.0,1319.0,2986.0,1212.0,3.9718,NEAR OCEAN,243786.8439437037
-117.83,33.81,24.0,3550.0,895.0,2828.0,834.0,2.8403,<1H OCEAN,177323.83944683452
-118.85,34.18,11.0,5873.0,1455.0,3089.0,1365.0,3.5504,<1H OCEAN,232199.5016769489
-118.37,36.19,10.0,443.0,111.0,48.0,21.0,3.125,INLAND,87530.99604039767
-121.85,37.39,15.0,8748.0,1547.0,4784.0,1524.0,5.8322,<1H OCEAN,270027.77639769914
-118.37,33.85,25.0,5622.0,998.0,2537.0,1009.0,5.785,<1H OCEAN,333044.2890636407
-118.96,35.37,32.0,1025.0,259.0,874.0,236.0,1.9612,INLAND,58505.0195398595
-120.64,35.65,9.0,3466.0,673.0,2356.0,619.0,2.9926,<1H OCEAN,168021.52656311647
-118.41,34.19,42.0,779.0,145.0,450.0,148.0,3.9792,<1H OCEAN,217291.02132072987
-122.53,37.95,22.0,7446.0,1979.0,2980.0,1888.0,3.5838,NEAR BAY,275240.40246808506
-117.33,34.15,28.0,1473.0,333.0,1196.0,312.0,1.6993,INLAND,74812.04118503728
-117.23,33.57,6.0,13724.0,2269.0,5860.0,1986.0,3.9617,<1H OCEAN,182799.7206550525
-120.44,37.28,12.0,2855.0,598.0,1658.0,586.0,2.3929,INLAND,98105.66722829865
-117.2,33.7,23.0,6323.0,1196.0,1984.0,1124.0,2.3276,<1H OCEAN,142993.19357696708
-121.34,38.64,12.0,2772.0,578.0,1335.0,565.0,3.8068,INLAND,136923.3995566007
-117.28,34.12,36.0,2991.0,822.0,2378.0,751.0,1.3571,INLAND,74819.25488179261
-119.48,36.5,32.0,3451.0,625.0,1968.0,574.0,2.9554,INLAND,76012.01574047966
-122.04,37.04,17.0,4977.0,994.0,1987.0,947.0,3.8854,NEAR OCEAN,265551.8393064311
-118.45,34.03,39.0,1657.0,402.0,931.0,363.0,3.7813,<1H OCEAN,380808.4342345467
-117.47,33.92,18.0,3869.0,773.0,2500.0,726.0,3.6583,INLAND,123420.40798133018
-121.94,37.75,16.0,5121.0,735.0,2464.0,761.0,6.6204,<1H OCEAN,317889.4263623175
-117.28,34.51,10.0,4676.0,884.0,2845.0,812.0,3.0181,INLAND,101245.31553054479
-120.95,35.44,30.0,6346.0,1410.0,1769.0,887.0,2.6864,NEAR OCEAN,224720.40028330302
-117.9,33.97,23.0,7353.0,1255.0,4014.0,1124.0,5.4155,<1H OCEAN,269696.8476783547
-120.77,38.38,15.0,4221.0,816.0,1737.0,743.0,2.3125,INLAND,115001.46187195687
-116.93,32.8,19.0,1867.0,538.0,1219.0,468.0,2.0685,<1H OCEAN,127926.80225495982
-118.13,33.81,34.0,1903.0,343.0,928.0,349.0,5.395,<1H OCEAN,251980.83156913138
-117.4,33.95,46.0,2189.0,423.0,866.0,389.0,3.1384,INLAND,120625.51732375195
-122.07,37.96,34.0,1692.0,290.0,836.0,289.0,5.0172,NEAR BAY,214107.2224534487
-123.71,39.88,42.0,1518.0,383.0,656.0,303.0,1.4952,NEAR OCEAN,95485.93418127352
-122.72,38.58,4.0,7042.0,1100.0,2936.0,1043.0,5.0555,<1H OCEAN,225896.6391834967
-117.77,33.72,9.0,2153.0,316.0,954.0,324.0,7.8139,<1H OCEAN,350020.8499358364
-117.93,34.07,34.0,1409.0,305.0,819.0,273.0,3.3977,<1H OCEAN,184412.8334170007
-118.41,34.07,52.0,1202.0,142.0,408.0,138.0,15.0001,<1H OCEAN,499904.4228571428
-120.07,36.97,28.0,1563.0,403.0,1564.0,408.0,1.5662,INLAND,53880.147131226935
-119.27,36.05,29.0,1016.0,174.0,481.0,140.0,2.2917,INLAND,65651.84327808715
-120.82,37.05,15.0,1385.0,288.0,775.0,255.0,1.933,INLAND,90107.4390452815
-121.43,38.54,42.0,3321.0,688.0,1346.0,658.0,2.4618,INLAND,104939.65323291751
-120.44,34.96,30.0,1685.0,315.0,1290.0,368.0,3.4722,<1H OCEAN,168944.37997155613
-120.35,37.95,13.0,2104.0,407.0,960.0,401.0,2.4,INLAND,111648.08898387317
-118.17,33.95,23.0,1991.0,584.0,1380.0,535.0,1.9107,<1H OCEAN,152573.13823323007
-121.57,39.5,31.0,2023.0,469.0,1073.0,436.0,1.5714,INLAND,58044.54483316216
-117.82,33.88,18.0,1982.0,300.0,1027.0,324.0,7.0526,<1H OCEAN,283536.86492106796
-121.9,37.44,4.0,1646.0,408.0,853.0,410.0,5.0821,<1H OCEAN,241326.4644226669
-121.45,38.54,38.0,1865.0,384.0,1052.0,354.0,1.7891,INLAND,70190.76125748921
-119.81,36.83,19.0,6789.0,1200.0,2325.0,1109.0,4.049,INLAND,118277.50499310326
-118.36,33.8,34.0,2629.0,369.0,966.0,375.0,10.1241,NEAR OCEAN,498733.14833333326
-117.68,33.59,8.0,2327.0,263.0,899.0,236.0,14.9009,<1H OCEAN,488565.7805268759
-118.04,33.88,17.0,4807.0,838.0,3059.0,853.0,5.7619,<1H OCEAN,282923.1365362178
-118.43,34.01,41.0,1527.0,279.0,746.0,285.0,6.4232,<1H OCEAN,433222.3214358192
-122.71,38.5,15.0,5645.0,830.0,2324.0,769.0,6.6104,<1H OCEAN,335752.8021003446
-121.83,36.6,30.0,2748.0,502.0,1491.0,535.0,4.3472,<1H OCEAN,228866.5984555106
-120.82,35.31,16.0,3924.0,699.0,1325.0,638.0,2.5172,NEAR OCEAN,209698.35983423388
-120.06,36.95,24.0,646.0,134.0,454.0,149.0,2.125,INLAND,72557.65757383368
-122.14,37.68,31.0,3184.0,716.0,1561.0,628.0,2.7955,NEAR BAY,175488.38446475565
-116.46,33.78,25.0,1137.0,414.0,604.0,240.0,1.3801,INLAND,87724.18222824941
-121.09,38.19,23.0,762.0,140.0,358.0,141.0,2.4545,INLAND,121624.3283735909
-121.32,38.57,15.0,3369.0,499.0,1733.0,470.0,5.31,INLAND,180927.4009486808
-120.99,37.66,30.0,1718.0,395.0,914.0,400.0,1.933,INLAND,86350.56621626524
-122.22,37.79,37.0,2343.0,574.0,1608.0,523.0,2.1494,NEAR BAY,126030.98054148754
-122.47,37.78,52.0,2169.0,522.0,1220.0,505.0,3.1989,NEAR BAY,418566.6831201657
-117.91,33.61,40.0,2790.0,531.0,952.0,424.0,4.8,<1H OCEAN,429169.801222148
-121.53,39.06,20.0,561.0,109.0,308.0,114.0,3.3021,INLAND,115101.61932465585
-117.04,32.83,8.0,2205.0,348.0,777.0,341.0,6.0266,<1H OCEAN,282163.9791440321
-118.13,34.11,52.0,2568.0,345.0,1102.0,345.0,9.1373,<1H OCEAN,491491.77047619043
-122.32,38.06,4.0,7999.0,1611.0,3596.0,1396.0,5.0969,NEAR BAY,201337.0956542217
-121.73,37.68,17.0,20354.0,3493.0,8768.0,3293.0,5.4496,INLAND,232439.8595335221
-118.98,35.4,36.0,1864.0,331.0,1052.0,325.0,3.4205,INLAND,81661.44615600935
-121.9,37.25,28.0,2714.0,502.0,1389.0,490.0,5.7385,<1H OCEAN,302207.45284393267
-121.3,38.69,13.0,2135.0,429.0,779.0,432.0,3.6995,INLAND,129999.14908071121
-115.64,32.75,19.0,377.0,69.0,198.0,55.0,1.625,INLAND,71310.04881057423
-117.89,33.76,34.0,1050.0,210.0,723.0,201.0,4.8,<1H OCEAN,194093.57259693398
-118.36,33.92,46.0,1231.0,231.0,793.0,256.0,4.1023,<1H OCEAN,216095.97152382572
-117.06,32.58,11.0,2879.0,679.0,2098.0,673.0,3.5125,NEAR OCEAN,135969.9511013988
-115.49,32.67,25.0,2322.0,573.0,2185.0,602.0,1.375,INLAND,70689.52422602008
-117.31,34.09,34.0,1336.0,345.0,1009.0,311.0,1.608,INLAND,72622.49089575953
-121.03,39.21,28.0,2843.0,535.0,1310.0,525.0,3.2337,INLAND,149780.32729264727
-117.05,32.72,35.0,1777.0,369.0,1158.0,353.0,3.4107,NEAR OCEAN,129395.81704121402
-117.95,33.92,18.0,2825.0,660.0,1590.0,643.0,3.6106,<1H OCEAN,186515.8756685009
-119.01,35.31,19.0,7092.0,1517.0,4101.0,1436.0,2.1006,INLAND,72110.4298301435
-119.17,34.27,18.0,8010.0,1539.0,3982.0,1483.0,4.0905,NEAR OCEAN,236315.61497356073
-118.07,34.14,42.0,3200.0,685.0,1668.0,628.0,3.375,INLAND,239224.1255772006
-122.23,38.1,46.0,4143.0,895.0,2240.0,847.0,2.4201,NEAR BAY,119437.7576790655
-117.75,34.06,52.0,62.0,9.0,44.0,16.0,0.4999,INLAND,287015.92038492067
-118.27,33.81,42.0,865.0,208.0,811.0,218.0,3.8621,<1H OCEAN,173309.78329863652
-121.32,38.0,21.0,1795.0,482.0,1114.0,472.0,2.0091,INLAND,93329.22419259978
-118.99,36.06,19.0,2153.0,458.0,1317.0,386.0,1.7564,INLAND,57975.7414443594
-122.37,40.54,28.0,2213.0,390.0,1096.0,378.0,3.6923,INLAND,105645.38301595232
-120.39,37.98,52.0,1056.0,274.0,584.0,255.0,2.1513,INLAND,100034.06823327212
-118.33,34.11,48.0,1601.0,464.0,784.0,461.0,3.0642,<1H OCEAN,305118.6729508861
-118.08,33.89,37.0,1152.0,259.0,981.0,225.0,3.2857,<1H OCEAN,168814.29377562518
-117.25,33.36,6.0,3725.0,960.0,2833.0,915.0,2.3214,<1H OCEAN,164417.23886586886
-119.15,36.29,18.0,1435.0,,657.0,254.0,2.4281,INLAND,77312.91632919062
-117.63,33.94,36.0,447.0,95.0,2886.0,85.0,4.2578,INLAND,182114.21831057302
-118.55,34.19,18.0,5862.0,,3161.0,1280.0,3.1106,<1H OCEAN,219418.09844373044
-117.89,33.71,16.0,1591.0,225.0,926.0,239.0,6.2452,<1H OCEAN,265193.39763812046
-117.69,33.66,5.0,4246.0,689.0,1933.0,722.0,6.9501,<1H OCEAN,313041.6408980725
-118.35,33.88,25.0,1459.0,362.0,1150.0,354.0,3.35,<1H OCEAN,244891.2856917673
-118.09,34.16,45.0,2199.0,358.0,942.0,353.0,5.0393,INLAND,348948.92525793647
-121.05,39.11,7.0,2767.0,423.0,1143.0,382.0,3.6333,INLAND,162045.58407297207
-118.21,34.1,40.0,1684.0,316.0,795.0,330.0,5.2723,<1H OCEAN,323097.02387898316
-119.04,36.07,17.0,2623.0,659.0,1912.0,618.0,1.5893,INLAND,61492.716842084716
-117.3,34.15,33.0,1607.0,282.0,608.0,260.0,4.3438,INLAND,138248.62154070605
-117.75,34.06,44.0,477.0,135.0,502.0,117.0,2.0156,INLAND,100723.59202918857
-114.61,33.62,16.0,1187.0,261.0,1115.0,242.0,2.1759,INLAND,64798.56621515303
-117.61,34.13,21.0,8416.0,1386.0,4308.0,1341.0,4.4611,INLAND,172668.9408266985
-118.11,34.05,23.0,3436.0,565.0,1729.0,529.0,5.9941,<1H OCEAN,290526.62087261234
-118.95,35.26,24.0,1341.0,214.0,667.0,184.0,4.0,INLAND,100284.62621938495
-118.35,33.9,25.0,3309.0,902.0,2299.0,837.0,3.0417,<1H OCEAN,214932.69353212917
-122.89,38.93,20.0,1214.0,247.0,504.0,223.0,2.7188,<1H OCEAN,173376.5573101025
-121.89,36.6,40.0,626.0,164.0,337.0,150.0,2.7917,<1H OCEAN,206592.5313276719
-118.31,34.26,34.0,1797.0,363.0,948.0,363.0,4.1339,<1H OCEAN,229571.6424917262
-122.01,37.25,31.0,1574.0,193.0,551.0,191.0,10.2311,<1H OCEAN,499638.2433333333
-118.37,34.04,43.0,888.0,170.0,514.0,161.0,3.1827,<1H OCEAN,265342.04304898327
-117.19,32.76,52.0,1294.0,175.0,434.0,180.0,5.7914,NEAR OCEAN,342457.63642622647
-119.71,36.8,17.0,2056.0,366.0,1259.0,367.0,3.9338,INLAND,92933.21539207031
-117.28,34.68,28.0,1932.0,421.0,1156.0,404.0,1.8958,INLAND,76909.9214110816
-120.84,35.32,15.0,2419.0,538.0,1279.0,522.0,3.4762,NEAR OCEAN,217260.5025324635
-118.13,34.02,43.0,396.0,91.0,261.0,73.0,2.9044,<1H OCEAN,183113.2088313245
-117.02,33.6,7.0,1972.0,352.0,964.0,317.0,3.244,INLAND,141138.78566792546
-116.97,32.76,33.0,3071.0,466.0,1348.0,513.0,6.1768,<1H OCEAN,330809.3508073476
-117.71,33.61,26.0,3046.0,726.0,888.0,663.0,2.6848,<1H OCEAN,136333.82850940642
-121.58,39.79,19.0,2636.0,523.0,1184.0,465.0,2.7863,INLAND,97688.4390986307
-118.24,34.15,19.0,4852.0,1465.0,3171.0,1332.0,2.5924,<1H OCEAN,223175.98083437406
-122.68,38.44,29.0,2796.0,588.0,1346.0,562.0,2.9107,<1H OCEAN,177608.13058282537
-118.14,33.84,43.0,2107.0,439.0,876.0,429.0,3.2024,<1H OCEAN,212024.0716322418
-117.88,34.1,32.0,3357.0,621.0,1696.0,604.0,4.2685,<1H OCEAN,187518.23993689325
-117.67,33.44,25.0,2994.0,519.0,903.0,410.0,6.6852,<1H OCEAN,310749.3813962042
-120.47,34.64,16.0,1912.0,406.0,1009.0,417.0,3.4063,NEAR OCEAN,203797.69987695606
-122.22,37.47,23.0,7740.0,1943.0,4124.0,1743.0,3.3268,NEAR OCEAN,307552.03295774537
-122.25,37.86,52.0,1709.0,318.0,719.0,295.0,5.0463,NEAR BAY,302042.7899889051
-118.11,34.06,30.0,1547.0,436.0,1700.0,410.0,2.5488,<1H OCEAN,180316.96574815846
-122.2,39.52,39.0,2551.0,482.0,1181.0,437.0,2.0625,INLAND,65229.680896659
-119.9,36.58,20.0,1935.0,363.0,1319.0,359.0,2.4814,INLAND,70344.60838882919
-118.26,33.79,42.0,1162.0,264.0,1044.0,241.0,3.5488,<1H OCEAN,167062.3238613221
-122.51,37.53,17.0,1574.0,262.0,672.0,241.0,7.2929,NEAR OCEAN,380790.2788001869
-118.37,33.93,46.0,442.0,88.0,255.0,94.0,4.4474,<1H OCEAN,238990.97123000407
-118.31,33.99,48.0,2235.0,433.0,1363.0,433.0,1.6559,<1H OCEAN,110337.91134563115
-117.94,33.65,15.0,2016.0,443.0,1015.0,419.0,5.2732,<1H OCEAN,249684.68240904325
-118.46,34.0,44.0,941.0,230.0,493.0,206.0,3.6458,<1H OCEAN,349503.68188058527
-122.33,37.95,46.0,1543.0,339.0,777.0,322.0,4.0927,NEAR BAY,146980.25790583546
-117.67,34.05,6.0,2833.0,628.0,1717.0,589.0,3.2062,INLAND,133048.3359525192
-118.05,33.94,34.0,495.0,120.0,527.0,130.0,1.9453,<1H OCEAN,146060.7176323505
-118.27,33.89,32.0,1969.0,397.0,1349.0,370.0,4.4659,<1H OCEAN,178824.03562091093
-117.16,33.57,2.0,20391.0,3245.0,7132.0,2716.0,3.9443,<1H OCEAN,194509.57950472587
-118.46,34.03,27.0,1965.0,631.0,1042.0,596.0,2.75,<1H OCEAN,332800.8231394032
-122.44,37.77,52.0,5604.0,1268.0,2023.0,1196.0,4.4085,NEAR BAY,449041.85746471415
-122.03,37.6,24.0,2077.0,383.0,1488.0,389.0,4.5721,NEAR BAY,219281.88354429445
-117.96,34.71,32.0,3511.0,646.0,1733.0,510.0,3.46,INLAND,100815.24403034935
-117.83,34.01,16.0,9446.0,1650.0,4911.0,1534.0,5.0111,<1H OCEAN,248755.2134066412
-118.62,34.2,29.0,2421.0,402.0,1120.0,388.0,5.0309,<1H OCEAN,242357.22339438697
-121.45,38.62,37.0,1534.0,315.0,1147.0,322.0,2.5643,INLAND,93322.14284929619
-122.48,37.71,39.0,3615.0,632.0,1571.0,615.0,5.1149,NEAR OCEAN,338868.05301703175
-123.22,39.15,45.0,1348.0,265.0,639.0,270.0,3.3667,<1H OCEAN,129587.62252636247
-122.11,37.39,36.0,1660.0,261.0,655.0,249.0,6.3967,NEAR BAY,390555.93945282535
-117.71,33.47,17.0,2681.0,454.0,830.0,410.0,5.5507,<1H OCEAN,293506.11384000373
-118.07,33.87,18.0,3405.0,556.0,1945.0,509.0,5.7652,<1H OCEAN,278804.37841519935
-122.11,37.66,29.0,2544.0,643.0,2332.0,603.0,3.2091,NEAR BAY,195893.02554674837
-117.93,34.04,30.0,1336.0,239.0,905.0,253.0,4.8854,<1H OCEAN,184737.96946927856
-122.03,37.39,34.0,2600.0,650.0,1994.0,650.0,4.0223,<1H OCEAN,250304.05902028346
-118.35,33.9,31.0,1547.0,,956.0,287.0,3.4698,<1H OCEAN,232299.2425053957
-117.13,32.72,9.0,2436.0,720.0,1780.0,653.0,1.8299,NEAR OCEAN,137823.61303953058
-121.66,36.82,17.0,3921.0,654.0,1895.0,641.0,5.0092,<1H OCEAN,253447.3387706665
-118.13,34.05,35.0,3229.0,616.0,1879.0,595.0,3.9531,<1H OCEAN,237886.89175715222
-118.28,34.05,41.0,1788.0,774.0,2931.0,702.0,1.4413,<1H OCEAN,191907.9039926473
-118.17,34.1,25.0,4444.0,647.0,1922.0,652.0,8.058,<1H OCEAN,453993.7375383024
-121.33,37.97,36.0,1953.0,492.0,999.0,371.0,2.0043,INLAND,79063.53790619694
-117.23,32.74,16.0,1953.0,404.0,798.0,385.0,4.8167,NEAR OCEAN,251696.80901594184
-121.29,38.6,29.0,1276.0,225.0,600.0,223.0,4.0938,INLAND,142863.6872669612
-117.95,34.04,36.0,1044.0,200.0,982.0,205.0,4.7679,<1H OCEAN,172267.25024263875
-121.83,36.61,26.0,3723.0,789.0,2563.0,747.0,3.4531,<1H OCEAN,207410.3792665367
